favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
402,Twitter Web Client,"When I took a walk in my garden this morning, I saw that the persimmons were ripening. I wonder whether they will be sweet or bitter.",,False,Sat Dec 19 07:28:00 +0000 2015,291,678114543604600832
165,Facebook,新しい写真をFacebookに投稿しました http://t.co/ZgmAlpCVUZ,,False,Fri Mar 21 02:13:01 +0000 2014,151,446831816335708160
16774,Twitter for iPhone,"雲ひとつない青空の下、毎年恒例の桜を見る会を開催しました。
「葉桜の 賑わいありて 盃重ね」 https://t.co/Xbv0pA1BNT",,False,Sat Apr 21 07:07:59 +0000 2018,4568,987588744881487873
9,Facebook,３月２９日夜、六本木で開催される『Japan Revival Conference at Vanity』へ招待されました!(^^)!... http://t.co/kRSWsuex,,False,Tue Mar 27 08:59:20 +0000 2012,3,184565256801107968
31,Facebook,今朝、東京で閣議を終え、高知県に遊説に参りました。... http://t.co/mKG9Wrhsae,,False,Tue Jul 09 05:13:38 +0000 2013,86,354468364959219713
10754,Twitter for iPhone,今夜中には35台が現地に入り、重要施設への電力供給に万全を期してまいります。関係省庁の総力を結集して、人命第一の方針のもと、救命・救助、食料や生活物資の確保、ライフラインの復旧にあらゆる手を尽くしてまいります。 https://t.co/Z5ibzavIR2,,False,Thu Sep 06 11:00:30 +0000 2018,4063,1037656784675061760
241,Facebook,"今日は、ケネディ大使と歌舞伎を鑑賞しました。
スター競演による華やかな、素晴らしい舞台でした。ケネディ大使も、日本の伝統芸能を堪能しているようでした。 http://t.co/pOD6QfO5VW",,False,Sat Jul 05 08:30:43 +0000 2014,281,485339980601249792
4799,Twitter for iPhone,"明日１０月１５日(日)
安倍晋三総裁は北海道に参ります。

詳細は是非、自民党の特設サイトでご確認下さい。
https://t.co/vKXI8z5Mjr

#自民党 #安倍晋三 #街頭演説",,False,Sat Oct 14 10:51:29 +0000 2017,1933,919153683463413760
395,Facebook,"「私たちの命を守り、私たちの平和な暮らしを守る。」
　外交・安全保障政策や法律の専門家に参加していただいた『安全保障の法的基盤の再構築に関する懇談会』の報告書の提出を受けて、記者会見をさせていただきました。... http://t.co/RgnbqipMqb",,False,Thu May 15 11:56:03 +0000 2014,734,466909875931729920
2838,Twitter Web Client,「桜よ、咲き誇れ、日本の真ん中で咲き誇れ」「日本よ、咲き誇れ、世界の真ん中で咲き誇れ」ジャカルタの大学生劇団「en塾」の皆さんが、官邸の桜の側で歌ってくれました。東日本大震災に襲われた日本を励まそうと作られた、日本語の歌です。 https://t.co/z26EmIxcff,,False,Fri Apr 08 07:54:42 +0000 2016,1821,718346315420319745
97,Facebook,"カナダを訪問した後、ニューヨークへ行きます。

国連総会、ニューヨーク証券取引所などでの演説で、国際社会における日本の存在感や、日本経済の再生、積極的平和主義の考え方を、存分にアピールしてきます。 http://t.co/mjkiOngdUN",,False,Mon Sep 23 08:04:33 +0000 2013,274,382052854699401216
278,Twitter for iPhone,佐賀に移動。JAさが三日月支所前にて #古川康 候補の応援演説会。佐賀県知事を12年務め、地方の課題を熟知している古川さん。 #地方創生 を共に実現していきます。 #総選挙 http://t.co/YDBvaxBliJ,,False,Thu Dec 11 05:39:44 +0000 2014,414,542916621921050624
186,Facebook,"桜よ咲き誇れ。日本の真ん中で咲き誇れ。　
日本よ咲き誇れ。世界の真ん中で咲き誇れ。... http://t.co/g8Hv8LJRhJ",,False,Tue Mar 19 12:54:02 +0000 2013,545,313996788455571456
125,Facebook,"ソチ・パラリンピック壮行会に出席。

多くの試練を、強い意志と努力で乗り越えてこられた選手の皆さん。皆さんの明るさからいつも勇気をもらいます。... http://t.co/eHjrEVOdck",,False,Wed Feb 05 10:41:13 +0000 2014,353,431014642270605312
4684,Twitter for iPhone,そうした中でも、しっかりと北海道の皆様に電力を供給し続けるためには、政府と北海道電力において更なる供給力の積み上げに努力するとともに、道民の皆様にも最大限の節電をお願いする必要があります。 https://t.co/CZC52Lurvo,,False,Fri Sep 07 11:22:35 +0000 2018,1531,1038024729204944896
52,Twitter Web Client,"このあと17:00より「＜自民党総裁選挙2012＞ 安倍晋三自民党新総裁 記者会見 生中継」ニコニコ生放送にて　http://t.co/y6ImcQRn
《総裁選秘書団アップ》　#安倍晋三　　#jnsc 　#総裁選",,False,Wed Sep 26 05:49:23 +0000 2012,284,250834430766227456
12344,Twitter for iPhone,東日本大震災では、海を越えて、祖国日本のため支援の手をさしのべてくださるなど、まさに日本とパラグアイの「架け橋」である皆さんに、感謝の気持ちをお伝えすることができました。 https://t.co/8GZ38enAqX,,False,Mon Dec 03 09:50:02 +0000 2018,2942,1069529183540338688
2426,Twitter Web Client,ガンジス川のほとりにある聖地でのヒンドゥー教の儀式は、ろうそくの光が揺らめき、花の香りに包まれ、美しく幻想的でした。平安を願う人々の想いが伝わってきました。日本とインドの絆が深まった旅でした。@narendramodi https://t.co/X6mV0OUNlY,,False,Sun Dec 13 15:24:06 +0000 2015,1982,676060032224460800
236,Facebook,"伊勢神宮の式年遷宮に参列いたしました。
20年に1度の厳かな儀式に参列できたことは、私にとって感激でした。20年を節目として千数百年を紡いできた先人に思いを致しつつ、国家国民の安寧、繁栄をお祈りました。 http://t.co/DWff3hD8hv",,False,Wed Oct 02 14:00:58 +0000 2013,649,385404041041567745
28,Facebook,新しい写真をFacebookに投稿しました http://t.co/CUNttGYn7G,,False,Wed Apr 17 04:15:25 +0000 2013,52,324375520076771329
475,TweetDeck,今夜（7/6）21時〜5夜にわたり自民党ネット番組 #cafesta に出演し、 #平和安全法制 について分かりやすくお答えします。1夜目は「なぜ必要なの？なぜ急ぐの？」みなさんぜひご覧下さい ○Youtube 　 https://t.co/ie37B0mk7S,,False,Mon Jul 06 09:57:11 +0000 2015,681,617995700278669312
14423,Twitter for iPhone,"アベノミクス３本の矢をはじめ我々が推し進めてきた政策によって政権交替後 GDPは５０兆円増え、全都道府県で有効求人倍率は１倍超えるなど景気の回復は着実に進んでおります。
さらに日本の経済を成長させ、皆様一人ひとりにこの成長を実感し… https://t.co/fauL4BPYCZ",,False,Sun Oct 15 11:50:35 +0000 2017,6830,919530944372940800
444,Facebook,"本日伊勢神宮を参拝いたしました。
神社の清々しい凛とした空気の中で身の引き締まる思いでした。
日本の平和と繁栄を願うと共に天皇皇后両陛下の御健康と皇室の弥栄を心よりお祈り致しました。 http://t.co/D4bWkvJ2Ml",,False,Mon Jan 06 07:54:40 +0000 2014,1093,420101095273549824
34,Facebook,新しい写真をFacebookに投稿しました http://t.co/gdAIk6sb,,False,Sat Dec 22 15:03:35 +0000 2012,76,282501643642208256
353,TweetDeck,３日前、#ミッシェルオバマ 大統領夫人 @MichelleObama が初来日。目的は発展途上国の女性に対する教育支援の重要性を訴えることでした。 http://t.co/7TnLBtCfNh,,False,Sat Mar 21 12:14:44 +0000 2015,322,579254816297242624
10930,Twitter for iPhone,"来年のG20において、プーチン大統領をお迎えいたしますが、その前に年明けにも私がロシアを訪問して、日露首脳会談を行います。
今回の合意の上に、私とプーチン大統領のリーダーシップのもと、戦後残されてきた懸案、平和条約交渉を仕上げてい… https://t.co/SnV4Zja4Et",,False,Wed Nov 14 15:19:31 +0000 2018,2852,1062726731352571911
28,Twitter Web Client,明日9月20日（木）17:30より、秋葉原駅前において、応援弁士に麻生太郎・元内閣総理大臣をお迎えして、安倍晋三街頭演説会を開催いたします！みなさま、是非、お集まり下さい！《総裁選秘書団アップ》#安倍晋三　#jnsc,,False,Wed Sep 19 04:19:15 +0000 2012,224,248275032034402304
10,Facebook,I posted a new photo to Facebook http://t.co/L29AmnFQ,,False,Fri Jul 27 00:33:38 +0000 2012,1,228649309132947457
13477,Twitter for iPhone,ＡＰＥＣ、東アジアサミットへ出発します。北朝鮮問題への対応、ＴＰＰ１１の大筋合意に向けた最終調整。中国、ロシアとの首脳会談も行う予定です。世界の首脳たちが集う国際舞台で、日本として、しっかりとリーダーシップを発揮する決意です。… https://t.co/4myCVC8UPW,,False,Thu Nov 09 09:14:55 +0000 2017,4047,928551463390887936
220,Twitter for iPhone,"明日、埼玉５区へ伺います。
我が党の候補者牧原秀樹、自民党の将来を担う若き政治家です。
恐らく日本で最も困難な選挙区で戦いに臨んでいる牧原さんの情熱に私は応えていきたいと思います。 http://t.co/7VA7w3W90a",,False,Mon Dec 08 01:02:00 +0000 2014,485,541759566879285250
61,Facebook,今日は、ヤンゴンから首都ネーピードーに移動して、テイン・セイン大統領と首脳会談を行いました。... http://t.co/o1YcszRsl7,,False,Sun May 26 12:41:14 +0000 2013,156,338635939389767680
206,Facebook,"「皇帝フリードリッヒ二世の生涯」上巻を読了しました。
様々な力が絡み合う中世ヨーロッパ世界の物語、下巻が楽しみです。 http://t.co/SlfceNsLI7",,False,Sun Mar 09 12:44:43 +0000 2014,209,442642134349647872
3056,Twitter for iPhone,明日は投票日。全国で厳しい戦いが続いております。我々は身を引き締め最後まで戦い抜きます。日本の未来のために自民党候補者達への力強いご支援よろしくお願いいたします。https://t.co/7U5fPEg44J,,False,Sat Jul 09 14:49:22 +0000 2016,1324,751790351820525569
7,Facebook,I posted a new photo to Facebook http://t.co/43thHV1C,,False,Mon Apr 02 12:33:46 +0000 2012,3,186793547645722624
169,Facebook,"東日本大震災の被災地、宮城県の七ヶ浜町、東松島市を訪れました。

ノリ作りの拠点が本格的に再建。
キャベツなどを栽培している農業生産法人では、震災前より生産性が向上。
震災前よりも元気になろう。そんな意欲に溢れていました。... http://t.co/eKFj1mfx62",,False,Wed Jul 16 08:41:20 +0000 2014,273,489328920890990592
1263,Twitter Web Client,#新国立競技場 は国民、アスリートそして世界の人々に夢と感動を与えるような場とするため、できる限りコストを抑制し、現実的にベストな計画を進めていく決意です。 http://t.co/97Ky1a3FVA,,False,Fri Jul 17 09:52:56 +0000 2015,1528,621980897416318976
328,Twitter Web Client,"Peace and quiet moment w/ @TurnbullMalcolm Calligraphy expresses core teaching of tea ceremony ""the importance of cherishing every moment""",,False,Sat Dec 19 07:48:47 +0000 2015,226,678119774459527168
1101,Twitter Web Client,国会での議論の場は参院に移りますが、良識の府ならではの深い議論を進めていきたいと思います。また国民の皆様のご理解が深まるよう、丁寧な説明に一層、力を入れてまいりす。 #平和安全法制 http://t.co/RiwjsSvsYQ,,False,Thu Jul 16 15:00:09 +0000 2015,1314,621695823064137729
36,Facebook,"・・・秘書です。
安倍総裁と福島県いわき市でに街頭演説を終え東京の街頭演説会会場（池袋駅東口）へ移動中です。... http://t.co/KS5Ho6d5Bw",,False,Thu Jul 04 04:07:23 +0000 2013,82,352639754942164992
254,Twitter for iPhone,"１２月１３日（土）18：30〜
【東京都：秋葉原駅前広場（秋葉原電気街口ガンダムカフェ前）】

《秘書アップ》",,False,Fri Dec 12 01:12:27 +0000 2014,691,543211748715540480
113,Facebook,"今回の最後の訪問国はフィリピンです。日本の総理がフィリピンに公式訪問したのは、第一次安倍政権以来六年半ぶりです。
日本の総理として初めてフィリピンを訪問したのは、私の祖父・岸信介。不思議なご縁を感じます。... http://t.co/giAUt4MSGl",,False,Sat Jul 27 08:45:27 +0000 2013,350,361044652285112320
26,Twitter Web Client,19日19時より安倍晋三総理大臣を求める民間人有志の会主催「安倍晋三　総裁選決起集会」が東京都千代田区永田町の星陵会館で開催されます！安倍晋三も参加します！皆様是非ご参加ください！参加申し込みはhttp://t.co/dnYCkOGR≪総裁選秘書団アップ≫　#安倍晋三　#jnsc,,False,Sun Sep 16 11:27:50 +0000 2012,101,247295728752418816
3215,Twitter for iPhone,My thoughts are with those who suffered injuries in the incident.,,False,Mon Nov 06 01:28:34 +0000 2017,888,927346940911566848
6986,Twitter for iPhone,"……秘書です。番組告知です。
本日19:30〜ニコニコ生放送にて
「ネット党首討論」が開催されます。
ご参加、あたたかい応援コメントお待ちしております。
《ニコニコ生放送》
「ネット党首討論」
10/7(土)午後7:30〜
https://t.co/v1I4rvYJ6I",,False,Sat Oct 07 02:41:58 +0000 2017,3575,916493774448058369
8,Facebook,I posted a new photo to Facebook http://t.co/gtHNPFEA,,False,Fri Mar 02 03:29:43 +0000 2012,2,175422608911769600
210,Twitter for iPhone,新発田市民文化会館前に移動。斎藤洋明 (@saito_hiroaki_)候補の応援演説に立ちました。大雨にもかかわらず、大勢の方々に集まっていただきました。雷に負けない熱いエールを送りました。 http://t.co/hMk7B7u5yp,,False,Wed Dec 03 07:30:04 +0000 2014,334,540045286953861122
29,Twitter Web Client,"自民党特設サイトに9月26日デイリーニュースをアップしました。湧き上がる安倍コール！通行人も思わず足を止める白熱の安倍晋三新宿街頭演説！の写真や動画はこちらから。http://t.co/kHWdlJWt
《総裁選秘書団アップ》#安倍晋三　#jnsc",,False,Wed Sep 26 02:36:28 +0000 2012,91,250785884222398464
7420,Twitter for iPhone,アジアとヨーロッパの首脳が一堂に会するASEMサミットへ向かいます。喫緊の課題である北朝鮮問題をはじめ、国際社会の諸問題に、しっかりと連携を確認したいと思います。 https://t.co/YF3gYimXjg,,False,Tue Oct 16 00:51:06 +0000 2018,1661,1051998935630241792
233,Twitter for iPhone,JR甲府駅南口にて宮川典子(@norikomiya)候補の応援。元教師である宮川さんは文部科学部会副部会長として、日本の子どもたちの教育を何とかしたい、という思いで走り続けています。若き政治家、宮川さんへの熱いご支援を！ #総選挙 http://t.co/BW8MWLKy0i,,False,Sat Dec 13 05:26:26 +0000 2014,320,543638052686426112
311,Twitter for iPhone,Praying for the victims of Boston Bombing. Int'l community must unite in their fight against terrorism. http://t.co/OIpYwyHy3T,,False,Mon Apr 27 18:02:07 +0000 2015,403,592750589303488512
15,Twitter Web Client,【動画】本日の長野駅前で行われた安倍晋三・総裁選街頭演説をYouTubeにアップしました。≪総裁選秘書団アップ≫　#安倍晋三　#jnsc,,False,Sun Sep 16 13:32:39 +0000 2012,31,247327140108967936
8,Facebook,I posted a new photo to Facebook http://t.co/bBU4LNk9,,False,Mon Mar 19 10:33:07 +0000 2012,1,181689753027092480
8,Facebook,I posted a new photo to Facebook http://t.co/VDgzUtDP,,False,Fri May 11 12:35:59 +0000 2012,1,200927231801966592
6,Facebook,I posted a new photo to Facebook http://t.co/s0Ahuifb,,False,Sun Feb 19 07:02:20 +0000 2012,0,171127459545235456
